Tanggal,0,3,6,9,12,15,18,21
01/01/2023,15.27,16.58,22.97,22.36,18.8,6.75,29.28,16.54
02/01/2023,17.29,19.45,34.38,8.43,16.4,25.88,3.91,39.15
03/01/2023,22.08,21.28,30.38,15.79,36.6,4.83,32.88,38.48
04/01/2023,35.94,1.34,1.89,33.2,28.33,14.68,24.72,14.12
05/01/2023,3.91,33.76,4.31,27.48,18.12,39.97,2.22,11.58
06/01/2023,2.36,2.78,33.55,13.21,22.05,1.18,5.22,7.78
07/01/2023,4.55,36.32,37.13,39.25,2.62,15.85,8.91,36.05
08/01/2023,9.53,20.21,6.61,15.39,3.13,24.66,4.25,15.96
09/01/2023,8.01,37.87,13.95,24.95,17.85,28.87,17.55,25.71
10/01/2023,11.9,39.69,20.98,26.22,31.8,27.08,9.48,1.02
11/01/2023,30.04,2.38,23.43,31.0,2.78,21.43,4.26,21.99
12/01/2023,2.41,17.1,8.5,20.7,21.7,11.09,1.25,31.34
13/01/2023,22.43,16.37,18.85,29.7,35.92,5.21,1.87,19.51
14/01/2023,20.97,1.99,7.37,1.37,38.03,19.82,32.84,39.9
15/01/2023,35.25,9.92,8.48,36.7,26.64,3.73,29.58,7.52
16/01/2023,12.8,23.67,30.38,31.62,18.0,27.96,23.82,12.01
17/01/2023,33.76,14.13,17.11,24.63,33.16,33.83,3.47,30.49
18/01/2023,7.64,31.25,12.79,3.83,7.9,13.0,25.14,38.33
19/01/2023,25.1,38.03,30.53,32.36,3.13,15.7,9.33,6.49
20/01/2023,25.1,1.89,27.77,15.58,14.0,11.22,34.32,36.98
21/01/2023,6.59,27.4,27.16,20.52,15.13,13.58,18.46,5.96
22/01/2023,11.26,14.62,1.76,35.42,20.03,32.16,37.83,19.57
23/01/2023,37.12,34.5,20.75,38.44,6.79,15.91,15.19,15.36
24/01/2023,34.79,21.72,14.19,22.23,7.57,26.12,8.19,13.35
25/01/2023,35.42,35.3,7.26,39.58,2.72,18.51,3.35,39.78
26/01/2023,29.93,12.74,12.86,14.49,30.9,29.35,30.13,10.51
27/01/2023,1.13,25.03,29.27,36.49,12.81,17.29,2.47,14.0
28/01/2023,36.56,39.71,10.78,8.21,32.62,2.21,19.12,31.15
29/01/2023,16.38,26.76,10.03,13.04,23.18,22.76,29.23,35.49
30/01/2023,8.39,12.07,31.58,31.43,29.33,39.72,12.99,21.05
31/01/2023,12.95,23.41,38.5,24.08,33.68,27.92,6.84,13.26
