Tanggal,Time/UTC,Kecepatan Arus
04/08/2022,18:23,20.13
30/05/2022,9:16,15.91
13/07/2022,22:00,7.45
15/05/2022,20:54,19.19
04/11/2022,5:26,37.97
02/02/2023,17:57,38.13
29/12/2022,10:39,30.39
31/05/2022,12:02,35.96
23/07/2022,17:04,5.13
12/01/2023,8:00,9.1
01/01/2023,21:37,19.17
11/10/2022,4:30,12.13
27/02/2023,14:06,4.12
27/12/2022,14:11,11.9
29/06/2022,5:03,3.19
13/10/2022,11:47,11.35
04/03/2023,19:19,34.41
17/03/2023,16:16,17.64
12/01/2023,13:53,19.2
19/10/2022,21:20,7.4
05/12/2022,16:11,24.81
11/05/2022,5:12,16.18
30/05/2022,7:15,27.63
22/12/2022,15:07,20.36
21/09/2022,1:08,39.22
10/05/2022,0:27,7.12
15/03/2022,21:48,26.23
21/07/2022,23:07,18.66
14/03/2022,16:47,8.21
24/06/2022,17:57,14.23
01/12/2022,2:12,17.28
20/03/2022,2:35,29.22
23/03/2022,6:28,3.45
29/12/2022,11:33,12.48
23/12/2022,5:25,10.7
22/06/2022,8:28,21.64
23/07/2022,0:01,8.65
12/05/2022,12:15,16.53
29/10/2022,18:26,11.32
02/07/2022,11:47,31.28
06/07/2022,23:05,29.9
21/06/2022,12:35,25.96
22/07/2022,0:35,28.45
28/07/2022,22:20,38.7
23/01/2023,14:13,39.33
07/07/2022,21:04,15.06
18/06/2022,3:58,29.07
09/03/2023,1:31,34.07
15/01/2023,12:31,21.89
04/10/2022,13:17,32.27
10/10/2022,18:31,10.29
14/04/2022,0:37,2.4
26/10/2022,18:05,20.58
20/04/2022,22:46,35.12
18/02/2023,2:29,10.31
17/06/2022,15:44,13.66
17/11/2022,22:23,7.1
02/11/2022,2:06,35.74
16/03/2023,18:13,13.97
26/06/2022,15:44,18.98
28/02/2023,8:46,23.0
20/06/2022,17:02,33.69
30/04/2022,5:27,2.93
17/12/2022,0:52,38.03
24/06/2022,1:47,33.87
10/05/2022,17:28,28.94
22/09/2022,1:43,27.06
04/10/2022,11:19,13.11
13/02/2023,23:26,19.1
15/12/2022,1:14,31.85
16/11/2022,2:24,29.73
14/06/2022,4:31,19.09
05/08/2022,23:21,37.07
01/02/2023,21:38,11.8
20/08/2022,18:32,26.78
27/12/2022,22:48,32.88
11/09/2022,0:19,19.64
14/11/2022,20:40,9.47
22/10/2022,7:33,5.26
24/02/2023,21:32,5.56
12/04/2022,17:01,23.08
16/07/2022,22:12,24.05
13/04/2022,0:26,23.41
02/04/2022,23:06,13.18
28/08/2022,14:25,23.07
28/12/2022,1:51,17.09
14/05/2022,16:13,22.18
11/05/2022,22:17,28.53
11/10/2022,12:05,28.27
15/09/2022,8:39,8.07
22/04/2022,22:58,11.69
09/08/2022,22:27,35.08
15/03/2023,20:39,27.23
03/03/2023,6:36,2.39
25/03/2022,23:34,19.47
20/10/2022,23:24,8.98
24/04/2022,15:32,29.56
25/02/2023,20:07,17.51
24/11/2022,15:39,1.93
26/04/2022,4:32,5.02
15/11/2022,20:59,6.71
18/04/2022,22:53,29.87
25/08/2022,4:53,27.67
24/02/2023,18:13,30.13
05/02/2023,1:25,10.73
08/07/2022,7:12,14.93
14/04/2022,21:48,2.71
26/08/2022,12:14,12.32
11/02/2023,19:43,13.96
04/03/2023,18:18,20.81
15/09/2022,16:40,29.23
25/11/2022,0:49,25.48
17/07/2022,15:48,12.38
09/07/2022,4:54,18.25
08/05/2022,17:21,17.26
01/10/2022,14:45,9.18
28/02/2023,6:43,21.74
09/06/2022,18:47,35.96
02/10/2022,1:58,8.7
04/07/2022,3:43,1.99
16/03/2023,1:24,24.77
01/12/2022,1:21,12.96
06/08/2022,9:27,1.63
14/11/2022,14:05,11.32
28/04/2022,14:21,34.82
13/01/2023,2:47,10.05
19/01/2023,9:54,13.76
19/09/2022,23:30,30.71
29/06/2022,1:11,7.21
18/05/2022,15:00,27.96
18/09/2022,9:47,12.84
15/08/2022,23:00,8.48
31/05/2022,14:17,17.82
17/02/2023,19:36,23.15
18/02/2023,3:25,38.35
16/04/2022,16:48,8.94
19/10/2022,10:39,11.39
25/01/2023,9:57,20.91
12/09/2022,7:40,29.08
22/02/2023,8:26,18.2
13/07/2022,7:25,17.56
25/10/2022,10:29,29.23
06/11/2022,1:52,29.18
24/10/2022,22:05,32.97
27/08/2022,10:01,33.88
25/12/2022,10:30,15.55
20/06/2022,13:45,3.5
30/01/2023,10:37,32.8
15/03/2023,11:59,23.96
05/11/2022,17:26,3.02
09/02/2023,21:30,23.98
04/08/2022,13:08,30.1
29/12/2022,6:37,6.18
16/12/2022,0:07,33.85
24/04/2022,3:07,21.93
05/10/2022,3:19,24.27
28/11/2022,17:23,16.57
03/02/2023,14:56,1.58
12/02/2023,22:15,27.25
07/05/2022,20:30,17.37
03/08/2022,2:57,4.97
03/02/2023,1:55,25.98
17/01/2023,4:00,35.48
24/09/2022,23:36,34.36
15/04/2022,13:47,22.78
09/10/2022,19:27,15.85
10/09/2022,13:00,15.31
14/10/2022,9:27,3.65
04/10/2022,6:15,31.9
14/05/2022,22:18,21.14
10/02/2023,18:42,31.34
11/10/2022,6:41,35.19
30/05/2022,13:20,28.94
26/08/2022,1:56,24.08
03/07/2022,21:19,6.07
13/11/2022,17:14,1.98
09/03/2023,14:01,14.26
23/01/2023,10:09,2.4
14/02/2023,23:25,8.19
03/01/2023,0:19,4.4
04/08/2022,2:52,32.11
22/04/2022,17:16,9.79
07/04/2022,12:57,19.26
02/09/2022,4:55,9.5
21/08/2022,1:13,36.81
01/12/2022,6:41,16.05
13/03/2023,7:26,13.59
09/11/2022,2:04,24.94
16/04/2022,16:20,13.43
03/11/2022,13:57,11.16
24/12/2022,14:07,21.3
11/02/2023,9:41,32.82
07/03/2023,3:47,37.64
31/07/2022,22:21,22.23
10/12/2022,7:20,31.22
10/07/2022,5:02,18.35
19/12/2022,0:03,9.04
18/03/2022,13:47,16.05
30/01/2023,11:12,12.25
